annex,marker,text,amended_by
VI,1,"Not required if concentration is 0,5 % or less and when it is used only for product protection purposes.",
VI,2,"For use as a colorant, see Annex IV, No 143.",
VI,3,"In case of combined use of zinc oxide and zinc oxide (nano), the sum shall not exceed the limit given in column g.",►M12
VI,4,"In case of combined use of Titanium Dioxide and Titanium Dioxide (nano), the sum shall not exceed the limit given in column g.",►M16
VI,5,"In case of combined use of Methylene Bis-Benzotriazolyl Tetramethylbutylphenol and Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano), the sum shall not exceed the limit given in column g.",►M26
VI,6,"However, cosmetic products containing that substance and complying with the restrictions set out in Regulation (EC) No 1223/2009 as applicable on 27 July 2022 may be placed on the Union market until 28 January 2023 and be made available on the Union market until 28 July 2023.",
VI,7,Benzophenone as an impurity and/or degradation product of Octocrylene shall be kept at trace level.,
VI,8,From 1 January 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 July 2025 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market.,
VI,9,"In case of combined use of Bis-(Diethylaminohydroxybenzoyl Benzoyl) Piperazine and Bis-(Diethylaminohydroxybenzoyl Benzoyl) Piperazine (nano), the sum shall not exceed 10 %.",
VI,10,"From 1 January 2027 cosmetic products containing ‘Benzoic acid, 2-[4-(diethylamino)-2-hydroxybenzoyl]-, hexyl ester’ and not complying with the conditions shall not be placed on the Union market. From 1 July 2028 cosmetic products containing ‘Benzoic acid, 2-[4-(diethylamino)-2-hydroxybenzoyl]-, hexyl ester’ and not complying with the conditions shall not be made available on the Union market.’",
